"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1948;8.62241645414853;10.4664591159257;-0.977387457398883;-0.48595057270073;-0.333482085406872;17.0913860993896
"Double Breakpoint R";"eng-gb";1949;8.57733506046716;10.4616245374113;-0.975129381902606;-0.482860533421103;-0.346461603934705;17.218020619328
"Double Breakpoint R";"eng-gb";1950;8.56085941440517;10.4503359332812;-0.9736508282935;-0.472923803122456;-0.348524935671796;17.1746759032911
"Double Breakpoint R";"eng-gb";1951;8.60343636320676;10.4846521283723;-0.979784892476781;-0.48434103082789;-0.320734044623529;17.270083894806
"Double Breakpoint R";"eng-gb";1952;8.59507338345983;10.4595630460419;-0.975010876033894;-0.454397926601912;-0.330632363220723;17.3072984312176
"Double Breakpoint R";"eng-gb";1953;8.56185979502244;10.4242033211171;-0.971451440211001;-0.4677563225279;-0.300909686812395;17.1781595749649
"Double Breakpoint R";"eng-gb";1954;8.56229567076395;10.4260128862548;-0.96646342685914;-0.462099272000046;-0.312002859162844;17.135948144868
"Double Breakpoint R";"eng-gb";1955;8.51569982335995;10.4182685921853;-0.966174957526401;-0.46381781262857;-0.32933001774018;17.1374355697993
"Double Breakpoint R";"eng-gb";1956;8.55142507322416;10.4215833121445;-0.970208851388341;-0.472959998728715;-0.305360752473467;17.2060755195654
"Double Breakpoint R";"eng-gb";1957;8.50718840345743;10.4596919735192;-0.958386560854652;-0.481572043849798;-0.311786383954902;17.2441249873043
"Double Breakpoint R";"eng-gb";1958;8.56269038567078;10.5013852553414;-0.967349590266538;-0.460101092352095;-0.299346997854654;17.2161321384626
"Double Breakpoint R";"eng-gb";1959;8.50312733222451;10.3580678890392;-0.951750334763248;-0.455202787493001;-0.303474551135286;17.0667061582738
"Double Breakpoint R";"eng-gb";1960;8.50076936433431;10.4669731032661;-0.955720802669883;-0.481443597280523;-0.298123973223942;17.3657441344227
"Double Breakpoint R";"eng-gb";1961;8.52686807949068;10.4294941749635;-0.960763783844409;-0.472001088842798;-0.279279305024254;17.4813086533164
"Double Breakpoint R";"eng-gb";1962;8.47417283771834;10.3551406391791;-0.955779912961622;-0.461675278335459;-0.276213245583893;17.501217570592
"Double Breakpoint R";"eng-gb";1963;8.46141483982361;10.3868477195906;-0.950845767925759;-0.449868482492855;-0.304887930909836;17.4491968486029
"Double Breakpoint R";"eng-gb";1964;8.46325164804297;10.4035983685783;-0.947817899334332;-0.467353190311723;-0.279027115848054;17.4477239982024
"Double Breakpoint R";"eng-gb";1965;8.46185822134467;10.3588172770979;-0.947929593348435;-0.459502922009496;-0.278957316703356;17.5598482456386
"Double Breakpoint R";"eng-gb";1966;8.45590146808247;10.4578426894943;-0.949568619024852;-0.476323275915476;-0.276698220800434;17.5786249130778
"Double Breakpoint R";"eng-gb";1967;8.41913174299691;10.3895455498367;-0.945045520309234;-0.461061445849234;-0.264647462383249;17.6096153167903
"Double Breakpoint R";"eng-gb";1968;8.49170710682968;10.4358796394744;-0.950231397668659;-0.472725810613526;-0.284987534711744;17.7235084898271
"Double Breakpoint R";"eng-gb";1969;8.50069832076763;10.4865397735305;-0.946212472573238;-0.480894913052924;-0.279002009896979;17.6960660828201
"Double Breakpoint R";"eng-gb";1970;8.45050350314;10.4064523723015;-0.939690845366732;-0.481037729088181;-0.266843420985271;17.6580183437298
"Double Breakpoint R";"eng-gb";1971;8.45213014950004;10.4133440178637;-0.940318888514208;-0.469488321629449;-0.250584004870833;17.7066082770283
"Double Breakpoint R";"eng-gb";1972;8.42877746783948;10.3914866827416;-0.938696779097484;-0.470527941277535;-0.268666145424691;17.6869828878449
"Double Breakpoint R";"eng-gb";1973;8.42348287646939;10.4259053065998;-0.936228683611566;-0.476872678686923;-0.279413288464757;17.6559194751398
"Double Breakpoint R";"eng-gb";1974;8.42220204298424;10.4242524795504;-0.933243963959194;-0.46869136019501;-0.264983176595765;17.4959554396527
"Double Breakpoint R";"eng-gb";1975;8.41136146332377;10.4293842158561;-0.932023883380788;-0.475138111465534;-0.258311998340299;17.6096742046236
"Double Breakpoint R";"eng-gb";1976;8.43110424267817;10.4473849956636;-0.932683941842904;-0.47368790678836;-0.249736675680147;17.6202483313352
"Double Breakpoint R";"eng-gb";1977;8.4015445540763;10.3983174818219;-0.926661949326956;-0.469938447652957;-0.253441331125772;17.5797554975239
"Double Breakpoint R";"eng-gb";1978;8.43494773670219;10.457866289171;-0.932105934614651;-0.468052002548892;-0.267204090366145;17.616192277428
"Double Breakpoint R";"eng-gb";1979;8.37891816141582;10.3418672201432;-0.926741221603165;-0.465105316352624;-0.258845861801478;17.6140848880692
"Double Breakpoint R";"eng-gb";1980;8.40295719689133;10.39532822424;-0.929929220305084;-0.464936092897244;-0.263604683815444;17.6651388113413
"Double Breakpoint R";"eng-gb";1981;8.40730906819037;10.4309639739716;-0.928142923669208;-0.478505364637484;-0.252478842062034;17.6412050674062
"Double Breakpoint R";"eng-gb";1982;8.42858468333797;10.4718456213465;-0.933010082116958;-0.472531860841066;-0.265504606260717;17.73285297739
"Double Breakpoint R";"eng-gb";1983;8.42536073553556;10.4919974019446;-0.931599181739941;-0.481482396716437;-0.265942863289204;17.7460026642774
"Double Breakpoint R";"eng-gb";1984;8.40293896318809;10.3942132741472;-0.931812979128336;-0.466092187662144;-0.271594258322296;17.7800408112888
